GEOGRAPHY_ID,GEOGRAPHY_ID_TYPE,GEOGRAPHY_NAME,GEOGRAPHY_TYPE,GEOGRAPHY_COMMUNITY_NAME,GEOGRAPHY_COMMUNITY_ID,PDX18_TYPE,COO16_TYPE,COO18_TYPE,COOREV18_MF_TYPE,COOREV18_SF_TYPE
53033031903,GEOID,"Census Tract 319.03, King County, Washington",tract,NA,NA,NA,NA,Continued Loss,NA,Continued Loss
53033031904,GEOID,"Census Tract 319.04, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031906,GEOID,"Census Tract 319.06, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031907,GEOID,"Census Tract 319.07, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031908,GEOID,"Census Tract 319.08, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033031909,GEOID,"Census Tract 319.09, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032002,GEOID,"Census Tract 320.02, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033032003,GEOID,"Census Tract 320.03, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032005,GEOID,"Census Tract 320.05, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032006,GEOID,"Census Tract 320.06, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032007,GEOID,"Census Tract 320.07, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032008,GEOID,"Census Tract 320.08, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032010,GEOID,"Census Tract 320.10, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032011,GEOID,"Census Tract 320.11, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032102,GEOID,"Census Tract 321.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032103,GEOID,"Census Tract 321.03, King County, Washington",tract,NA,NA,Early Type 1,Early Type 1,NA,NA,Early Type 1
53033032104,GEOID,"Census Tract 321.04, King County, Washington",tract,NA,NA,NA,NA,Continued Loss,NA,Continued Loss
53033032203,GEOID,"Census Tract 322.03, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032207,GEOID,"Census Tract 322.07, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032208,GEOID,"Census Tract 322.08, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032210,GEOID,"Census Tract 322.10, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032211,GEOID,"Census Tract 322.11, King County, Washington",tract,NA,NA,NA,Continued Loss,NA,NA,NA
53033032212,GEOID,"Census Tract 322.12, King County, Washington",tract,NA,NA,NA,Continued Loss,NA,NA,NA
53033032213,GEOID,"Census Tract 322.13, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032214,GEOID,"Census Tract 322.14, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032215,GEOID,"Census Tract 322.15, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032307,GEOID,"Census Tract 323.07, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032309,GEOID,"Census Tract 323.09, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032311,GEOID,"Census Tract 323.11, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032313,GEOID,"Census Tract 323.13, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032315,GEOID,"Census Tract 323.15, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032316,GEOID,"Census Tract 323.16, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032317,GEOID,"Census Tract 323.17, King County, Washington",tract,NA,NA,NA,Continued Loss,Continued Loss,NA,Continued Loss
53033032318,GEOID,"Census Tract 323.18, King County, Washington",tract,NA,NA,NA,NA,Continued Loss,NA,Continued Loss
53033032319,GEOID,"Census Tract 323.19, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032320,GEOID,"Census Tract 323.20, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032321,GEOID,"Census Tract 323.21, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033032322,GEOID,"Census Tract 323.22, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032323,GEOID,"Census Tract 323.23, King County, Washington",tract,NA,NA,NA,NA,NA,NA,Continued Loss
53033032324,GEOID,"Census Tract 323.24, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032325,GEOID,"Census Tract 323.25, King County, Washington",tract,NA,NA,NA,NA,NA,NA,Continued Loss
53033032326,GEOID,"Census Tract 323.26, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033032327,GEOID,"Census Tract 323.27, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033032328,GEOID,"Census Tract 323.28, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
